Description,MN,PN, Amount
Rack mount:,,,
Rack mount unit,Fischer Elektronik,HB ME 14 160 R3,1
Mounting screw,Fischer Elektronik,HS 1,4
Plastic sleeve,Fischer Elektronik,KN 1,3
Press fit metal sleeve,Fischer Elektronik,MN 1,1
DDS assembly:,,,
M3x6 countersunk nylon screw,,,4
M3 nylon hex nut (display spacer),,,4
M2.5x10 nylon screw (display mount),,,4
male/female 2.54mm jumper cable 15cm (display connection),,,4
SMA/SMA cable angled 25cm,,,3
4 Pin JST-PH 2mm Cable Female/Female 15cm (rotary encoder),,,1
2 Pin JST-PH 2mm Cable Female/Open 15cm (push button),,,1
Push button,Apem,9533NCD,1
Toggle switch (DDS power supply),Apem, e.g. 5000 series,1

